year,temp_anomaly_c,precip_anomaly_pct,co2_ppm,heatwave_risk,seasonal_precip_mm,yield_bu_acre,scenario_SSP1-2.6,scenario_SSP3-7.0,scenario_SSP5-8.5
2010,-0.7854424097726115,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.6813259672582397,164.8,1.0,0.0,0.0
2009,-0.894623667640543,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.7199636579735422,192.4,1.0,0.0,0.0
2008,-1.8528927314698285,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.235919009836588,178.0,1.0,0.0,0.0
2007,-1.3300400457078592,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.5891806086039576,162.4,1.0,0.0,0.0
2006,-1.2396364425032067,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4868219618309061,171.6,1.0,0.0,0.0
2005,0.3847067703706918,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.1272869460540472,171.1,1.0,0.0,0.0
2025,0.4506263813928353,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.650694889431546,176.6,1.0,0.0,0.0
2024,0.4456474116960573,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.0481732060000948,192.7,1.0,0.0,0.0
2023,0.4406684419992775,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.44565152256864343,192.9,1.0,0.0,0.0
2022,0.43568947230249977,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.15687016086280786,172.1,1.0,0.0,0.0
2021,0.4307105026057195,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.7593918442942592,192.0,1.0,0.0,0.0
2020,0.4257315329089418,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.3619135277257106,166.2,1.0,0.0,0.0
2019,0.26462412530602314,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.011620826206185,161.7,1.0,0.0,0.0
2018,0.10351671770310451,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6613281246866581,154.4,1.0,0.0,0.0
